Kode Provinsi,Nama Provinsi,Komoditas,Tahun,Bulan,Harga,Bulan_Angka,Harga_Bulan_Lalu,Harga_3Bulan_Lalu,Harga_Tahun_Lalu,Provinsi_ID,Komoditas_ID
11,Aceh,Beras Premium,2022,Januari,12035.0,1,11911.0,11790.0,12072.0,38,3
12,Sumatera Utara,Beras Premium,2022,Januari,12495.0,1,12472.0,12363.0,12523.0,76,3
13,Sumatera Barat,Beras Premium,2022,Januari,13307.0,1,13191.0,13252.0,13096.0,74,3
14,Riau,Beras Premium,2022,Januari,14503.0,1,14357.0,14344.0,14605.0,68,3
15,Jambi,Beras Premium,2022,Januari,12162.0,1,12193.0,12333.0,12323.0,45,3
16,Sumatera Selatan,Beras Premium,2022,Januari,11523.0,1,11626.0,11559.0,11675.0,75,3
17,Bengkulu,Beras Premium,2022,Januari,11611.0,1,11463.0,11457.0,11752.0,41,3
18,Lampung,Beras Premium,2022,Januari,11771.0,1,11448.0,11336.0,11428.0,56,3
19,Kepulauan Bangka Belitung,Beras Premium,2022,Januari,12573.0,1,12622.0,12653.0,12675.0,54,3
21,Kepulauan Riau,Beras Premium,2022,Januari,14464.0,1,14369.0,14381.0,13817.0,55,3
31,DKI Jakarta,Beras Premium,2022,Januari,12475.0,1,12523.0,12591.0,12575.0,43,3
32,Jawa Barat,Beras Premium,2022,Januari,11644.0,1,11558.0,11550.0,11469.0,46,3
33,Jawa Tengah,Beras Premium,2022,Januari,11596.0,1,11473.0,11311.0,11674.0,47,3
34,DI Yogyakarta,Beras Premium,2022,Januari,11339.0,1,11339.0,11029.0,12126.0,42,3
35,Jawa Timur,Beras Premium,2022,Januari,11374.0,1,11268.0,11196.0,11582.0,48,3
36,Banten,Beras Premium,2022,Januari,11352.0,1,11229.0,11282.0,11095.0,40,3
51,Bali,Beras Premium,2022,Januari,11559.0,1,11426.0,11498.0,11977.0,39,3
52,Nusa Tenggara Barat,Beras Premium,2022,Januari,10915.0,1,10834.0,10821.0,11987.0,59,3
53,Nusa Tenggara Timur,Beras Premium,2022,Januari,12521.0,1,12376.0,12155.0,12402.0,60,3
61,Kalimantan Barat,Beras Premium,2022,Januari,13942.0,1,13816.0,13795.0,13855.0,49,3
62,Kalimantan Tengah,Beras Premium,2022,Januari,14889.0,1,14962.0,15026.0,14373.0,51,3
63,Kalimantan Selatan,Beras Premium,2022,Januari,14797.0,1,14868.0,14853.0,14046.0,50,3
64,Kalimantan Timur,Beras Premium,2022,Januari,13320.0,1,13423.0,13436.0,13305.0,52,3
65,Kalimantan Utara,Beras Premium,2022,Januari,14021.0,1,14114.0,14135.0,13940.0,53,3
71,Sulawesi Utara,Beras Premium,2022,Januari,11929.0,1,11981.0,11974.0,12275.0,73,3
72,Sulawesi Tengah,Beras Premium,2022,Januari,11628.0,1,11655.0,11599.0,11682.0,71,3
73,Sulawesi Selatan,Beras Premium,2022,Januari,10947.0,1,10934.0,10910.0,11048.0,70,3
74,Sulawesi Tenggara,Beras Premium,2022,Januari,11719.0,1,11873.0,11809.0,10190.0,72,3
75,Gorontalo,Beras Premium,2022,Januari,11245.0,1,11253.0,11291.0,11283.0,44,3
76,Sulawesi Barat,Beras Premium,2022,Januari,11253.0,1,11318.0,10957.0,11090.0,69,3
81,Maluku,Beras Premium,2022,Januari,14279.0,1,14434.0,14513.0,14460.0,57,3
82,Maluku Utara,Beras Premium,2022,Januari,13956.0,1,14028.0,14000.0,14431.0,58,3
91,Papua Barat,Beras Premium,2022,Januari,14932.0,1,14888.0,14876.0,14933.0,62,3
94,Papua,Beras Premium,2022,Januari,15062.0,1,15020.0,14835.0,14771.0,61,3
11,Aceh,Beras Medium,2022,Januari,10901.0,1,10895.0,10910.0,10967.0,38,2
12,Sumatera Utara,Beras Medium,2022,Januari,11216.0,1,11234.0,11130.0,11300.0,76,2
13,Sumatera Barat,Beras Medium,2022,Januari,12143.0,1,12084.0,12149.0,11801.0,74,2
14,Riau,Beras Medium,2022,Januari,12627.0,1,12536.0,12501.0,12550.0,68,2
15,Jambi,Beras Medium,2022,Januari,10196.0,1,10162.0,10558.0,10993.0,45,2
16,Sumatera Selatan,Beras Medium,2022,Januari,10282.0,1,10372.0,10280.0,10519.0,75,2
17,Bengkulu,Beras Medium,2022,Januari,10323.0,1,10040.0,10014.0,10313.0,41,2
18,Lampung,Beras Medium,2022,Januari,10460.0,1,10156.0,10085.0,10298.0,56,2
19,Kepulauan Bangka Belitung,Beras Medium,2022,Januari,10299.0,1,10250.0,10230.0,10302.0,54,2
21,Kepulauan Riau,Beras Medium,2022,Januari,13164.0,1,12970.0,12987.0,12514.0,55,2
31,DKI Jakarta,Beras Medium,2022,Januari,11088.0,1,11075.0,11126.0,11371.0,43,2
32,Jawa Barat,Beras Medium,2022,Januari,10181.0,1,10092.0,10079.0,10213.0,46,2
33,Jawa Tengah,Beras Medium,2022,Januari,10188.0,1,10056.0,9802.0,10095.0,47,2
34,DI Yogyakarta,Beras Medium,2022,Januari,9734.0,1,9559.0,9247.0,9921.0,42,2
35,Jawa Timur,Beras Medium,2022,Januari,9966.0,1,9841.0,9805.0,10336.0,48,2
36,Banten,Beras Medium,2022,Januari,10004.0,1,9914.0,10000.0,10184.0,40,2
